id,SpaceType,SpaceType_1,Area,Vol,Level,H,Orien,Nef,Aef,Lef,Naz,Apw,Lpw,Q50,Wa,WWR,Occ,AefV,AefA,Tin,DT,Hum,ACH,PM25,IO,F,Q4
RC2_F2_O_O14,Offices,Shared Cellular Offices,34.5,93.5,2,2.71,50,2,31.84,0.00701,3,31.84,0.00701,10,8.4,0.264,8,0.923,0.3406,18.96,11.76,0.007862385,0.16388,6.357,0.31,15.32278,0.48124309
RC2_F2_O_O15,Offices,Shared Cellular Offices,28.5,77.24,2,2.71,5,1,12.87,0.00283,3,45.39,0.00999,10,4.2,0.326,6,0.4517,0.1667,19.54,12.33,0.008374263,0.12967,5.021,0.245,10.0157108,0.778221507
RC2_F2_O_O16,Offices,Shared Cellular Offices,22.5,60.98,2,2.71,5,1,10.16,0.00224,3,42.68,0.00939,10,2.1,0.207,5,0.4517,0.1667,19.77,12.56,0.008662738,0.1083,4.199,0.205,6.604134,0.650013189
RC2_F2_O_O17,Offices,Shared Cellular Offices,13.5,36.59,2,2.71,5,1,6.1,0.00134,3,38.62,0.0085,10,2.1,0.344,2,0.4517,0.1667,19.93,12.72,0.008299736,0.09821,4.73,0.231,3.5935039,0.589099
RC2_F2_O_O18,Offices,Shared Cellular Offices,15,40.65,2,2.71,5,1,6.78,0.00149,3,39.3,0.00864,10,2.1,0.31,3,0.4517,0.1667,19.97,12.76,0.008628437,0.09694,4.304,0.21,3.940611,0.581211062
RC2_F2_O_O19,Offices,Shared Cellular Offices,15,40.65,2,2.71,5,1,6.78,0.00149,3,39.3,0.00864,10,2.1,0.31,3,0.4517,0.1667,20.03,12.82,0.008720167,0.09667,4.21,0.205,3.9296355,0.579592257
RC2_F2_O_O20,Offices,Single Cellular Office,10.13,27.44,2,2.71,5,1,6.1,0.00134,3,30.49,0.00671,10,2.1,0.344,1,0.6022,0.2222,20.13,12.92,0.00845442,0.12773,4.774,0.233,3.5049112,0.574575607
RC2_F2_O_O21,Offices,Shared Cellular Offices,12.94,35.06,2,2.71,185,1,6.1,0.00134,3,37.26,0.0082,10,2.1,0.344,2,0.4713,0.1739,21.73,14.52,0.007781585,0.3788,7.553,0.369,13.280728,2.177168525
RC2_F2_O_O22,Offices,Shared Cellular Offices,14.37,38.96,2,2.71,185,1,6.78,0.00149,3,37.94,0.00835,10,2.1,0.31,2,0.4713,0.1739,21.77,14.57,0.007925539,0.37952,7.644,0.373,14.7860992,2.18084059
RC2_F2_O_O23,Offices,Shared Cellular Offices,14.37,38.96,2,2.71,185,1,6.78,0.00149,3,37.94,0.00835,10,2.1,0.31,2,0.4713,0.1739,21.6,14.4,0.007793888,0.38165,7.739,0.378,14.869084,2.193080236
RC2_F2_O_O24,Offices,Shared Cellular Offices,12.94,35.06,2,2.71,185,1,6.1,0.00134,4,37.26,0.0082,10,2.1,0.344,2,0.4713,0.1739,21.19,13.98,0.007526295,0.39359,7.62,0.372,13.7992654,2.262174656
RC2_F2_O_O25,Offices,Single Cellular Office,11.25,30.49,2,2.71,275,1,6.1,0.00134,3,33.2,0.0073,10,2.1,0.344,1,0.542,0.2,19.02,11.82,0.007065986,0.4879,6.849,0.334,14.876071,2.438700164
RC2_F2_O_O26,Offices,Single Cellular Office,11.25,30.49,2,2.71,275,1,6.1,0.00134,3,33.2,0.0073,10,2.1,0.344,1,0.542,0.2,19.03,11.82,0.007358888,0.48557,6.368,0.311,14.8050293,2.427053984
RC2_F2_O_O27,Offices,Shared Cellular Offices,14.25,38.62,2,2.71,185,1,12.87,0.00283,3,29.13,0.00641,10,4.2,0.326,2,0.9033,0.3333,22.59,15.38,0.009099196,0.28448,6.704,0.327,10.9866176,0.853661041
